context_indices
"[1844, 1615]"
"[3046, 431, 1615, 2198]"
"[431, 1844, 2198, 3419]"
"[1844, 1615, 3419, 60]"
"[1615, 2198, 60, 1232]"
"[2198, 3419, 1232, 2376]"
"[3419, 60, 2376, 334]"
"[60, 1232, 334, 739]"
"[1232, 2376, 739, 3090]"
"[2376, 334, 3090, 254]"
"[334, 739, 254, 1120]"
"[739, 3090, 1120, 621]"
"[3090, 254, 621, 368]"
"[254, 1120, 368, 393]"
"[1120, 621, 393, 1664]"
"[621, 368, 1664, 2139]"
"[368, 393, 2139, 1175]"
"[393, 1664, 1175, 949]"
"[1664, 2139, 949, 2139]"
"[2139, 1175, 2139, 3225]"
"[1175, 949, 3225, 2281]"
"[949, 2139, 2281, 3244]"
"[2139, 3225, 3244, 2968]"
"[3225, 2281, 2968, 1844]"
"[2281, 3244, 1844, 442]"
"[3244, 2968, 442, 254]"
"[2968, 1844, 254, 1854]"
"[1844, 442, 1854, 393]"
"[442, 254, 393, 3345]"
"[254, 1854, 3345, 555]"
"[1854, 393, 555, 1047]"
"[393, 3345, 1047, 292]"
"[3345, 555, 292, 988]"
"[555, 1047, 988, 555]"
"[1047, 292, 555, 2713]"
"[292, 988, 2713, 3167]"
"[988, 555, 3167, 1934]"
"[555, 2713, 1934, 323]"
"[2713, 3167, 323, 2190]"
"[3167, 1934, 2190, 213]"
"[1934, 323, 213, 393]"
"[323, 2190, 393, 1844]"
"[2190, 213, 1844, 2896]"
"[213, 393, 2896, 2661]"
"[393, 1844, 2661, 2812]"
"[1844, 2896, 2812, 1035]"
"[2896, 2661, 1035, 621]"
"[2661, 2812, 621, 1363]"
"[2812, 1035, 1363, 1490]"
"[1035, 621, 1490, 2813]"
"[621, 1363, 2813, 3250]"
"[1363, 1490, 3250, 3046]"
"[1490, 2813, 3046, 431]"
"[2813, 3250, 431, 2949]"
"[3250, 3046, 2949, 2374]"
"[3046, 431, 2374, 1854]"
"[431, 2949, 1854, 1382]"
"[2949, 2374, 1382, 2476]"
"[2374, 1854, 2476, 1890]"
"[1854, 1382, 1890, 1363]"
"[1382, 2476, 1363, 3353]"
"[2476, 1890, 3353, 368]"
"[1890, 1363, 368, 2785]"
"[1363, 3353, 2785, 1890]"
"[3353, 368, 1890, 1870]"
"[368, 2785, 1870, 1854]"
"[2785, 1890, 1854, 1890]"
"[1890, 1870, 1890, 1363]"
"[1870, 1854, 1363, 3226]"
"[1854, 1890, 3226, 1818]"
"[1890, 1363, 1818, 2422]"
"[1363, 3226, 2422, 1999]"
"[3226, 1818, 1999, 1363]"
"[1818, 2422, 1363, 196]"
"[2422, 1999, 196, 3452]"
"[1999, 1363, 3452, 3046]"
"[1363, 196, 3046, 431]"
"[196, 3452, 431, 1861]"
"[3452, 3046, 1861, 1054]"
"[3046, 431, 1054, 2116]"
"[431, 1861, 2116, 2715]"
"[1861, 1054, 2715, 2892]"
"[1054, 2116, 2892, 1107]"
"[2116, 2715, 1107, 2280]"
"[2715, 2892, 2280, 2912]"
"[2892, 1107, 2912, 2476]"
"[1107, 2280, 2476, 1890]"
"[2280, 2912, 1890, 1871]"
"[2912, 2476, 1871, 796]"
"[2476, 1890, 796, 2666]"
"[1890, 1871, 2666, 2662]"
"[1871, 796, 2662, 2785]"
"[796, 2666, 2785, 1363]"
"[2666, 2662, 1363, 986]"
"[2662, 2785, 986, 2109]"
"[2785, 1363, 2109, 2265]"
"[1363, 986, 2265, 2981]"
"[986, 2109, 2981, 621]"
"[2109, 2265, 621, 368]"
"[2265, 2981, 368, 3328]"
"[2981, 621, 3328, 1363]"
"[621, 368, 1363, 2807]"
"[368, 3328, 2807, 845]"
"[3328, 1363, 845, 3339]"
"[1363, 2807, 3339, 431]"
"[2807, 845, 431, 3046]"
"[845, 3339, 3046, 431]"
"[3339, 431, 431, 3046]"
"[431, 3046, 3046, 431]"
"[3046, 431, 431, 1525]"
"[431, 3046, 1525, 2476]"
"[3046, 431, 2476, 1890]"
"[431, 1525, 1890, 2198]"
"[1525, 2476, 2198, 1844]"
"[2476, 1890, 1844, 2376]"
"[1890, 2198, 2376, 891]"
"[2198, 1844, 891, 431]"
"[1844, 2376, 431, 1869]"
"[2376, 891, 1869, 2725]"
"[891, 431, 2725, 646]"
"[431, 1869, 646, 3339]"
"[1869, 2725, 3339, 431]"
"[2725, 646, 431, 1026]"
"[646, 3339, 1026, 1544]"
"[3339, 431, 1544, 2970]"
"[431, 1026, 2970, 3092]"
"[1026, 1544, 3092, 708]"
"[1544, 2970, 708, 1880]"
"[2970, 3092, 1880, 2376]"
